Hour,Temperature,load
22,56.9,1058.355
23,57.1,966.796
24,62.1,879.053
1,56.4,837.941
2,56.3,804.478
3,57.4,777.847
4,58.7,774.042
5,59.4,798.325
6,59.7,853.782
7,59.8,935.77
8,60.2,940.537
9,61.9,877.186
10,62.8,818.802
11,65.2,790.66
12,66.8,781.793
13,66.5,787.87
14,66.7,800.047
15,67.6,813.559
16,67.8,848.543
17,67.3,931.055
18,66,1050.466
19,65,1134.436
20,63.5,1147.738
21,62.1,1128.058
22,61.2,1064.446
23,60.6,979.006
24,56.9,901.204
1,60.1,870.655
2,59.7,810.739
3,58.6,793.09
4,57.5,781.241
5,57,797.099
6,56.8,848.432
7,56.8,914.412
8,58.5,934.625
9,62.1,882.167
10,65.7,831.641
11,70.6,821.819
12,74.4,859.923
13,76.8,904.325
14,79,881.284
15,80.7,879.713
16,80.6,910.326
17,76.8,1000.159
18,73.3,1128.902
19,73.3,1208.064
20,72.2,1193.102
21,69,1164.767
22,67,1087.508
23,66,1014.926
24,60.4,922.72
1,64.7,872.053
2,64.1,829.575
3,63.5,809.754
4,62.6,793.178
5,61.8,805.413
6,61.2,810.233
7,61.1,828.52
8,62.5,860.11
9,66.2,828.199
10,70.3,802.491
11,75.7,794.685
12,80.1,815.571
13,82.9,834.644
14,84.4,865.628
15,85.4,899.593
16,85.4,971.376
17,85.4,1057.254
18,82.8,1161.189
19,81.1,1223.9
20,78,1211.693
21,74.4,1186.574
22,72.2,1118.674
23,70.3,1035.086
24,65.1,962.295
1,67.3,914.249
2,66.6,882.037
3,65.8,841.927
4,65.1,828.451
5,64.4,826.533
6,63.7,837.452
7,63,866.184
8,64,862.214
9,67.5,840.719
10,70.9,830.194
11,74.3,808.762
12,76.7,815.194
13,79.5,840.154
14,81.1,864.993
15,79.4,922.513
16,79.2,1009.068
17,79.7,1122.311
18,79,1209.06
19,76.5,1230.168
20,74.1,1237.831
21,72.5,1208.002
22,71.7,1129.697
23,70.2,1052.568
24,68.5,964.078
1,67.5,930.412
2,66.7,890.986
3,67.2,874.53
4,67.1,867.489
5,67,874.373
6,66.9,923.574
